date,temp,humid,watersensor
2019-06-28T22:07:04, 19.0*C, 79.0%, 0
2019-06-28T23:07:03, 19.0*C, 79.0%, 0
2019-06-29T00:07:06, 19.0*C, 79.0%, 0
2019-06-29T01:07:04, 19.0*C, 79.0%, 0
2019-06-29T02:07:06, 19.0*C, 79.0%, 0
2019-06-29T03:07:06, 19.0*C, 79.0%, 0
2019-06-29T04:07:04, 19.0*C, 79.0%, 0
2019-06-29T05:07:07, 19.0*C, 80.0%, 0
2019-06-29T06:07:03, 19.0*C, 80.0%, 0
2019-06-29T07:07:04, 19.0*C, 79.0%, 0
2019-06-29T08:07:04, 19.0*C, 78.0%, 0
2019-06-29T09:07:04, 19.0*C, 78.0%, 0
2019-06-29T10:07:07, 19.0*C, 77.0%, 0
2019-06-29T11:07:03, 19.0*C, 77.0%, 0
2019-06-29T12:07:04, 18.0*C, 76.0%, 0
2019-06-29T13:07:04, 19.0*C, 77.0%, 0
2019-06-29T14:07:04, 18.0*C, 76.0%, 0
2019-06-29T15:07:03, 18.0*C, 76.0%, 0
2019-06-29T16:07:04, 18.0*C, 76.0%, 0
2019-06-29T17:07:04, 19.0*C, 77.0%, 0
2019-06-29T18:07:04, 19.0*C, 78.0%, 0
2019-06-29T19:07:03, 19.0*C, 78.0%, 0
2019-06-29T20:07:06, 19.0*C, 79.0%, 0
2019-06-29T21:07:04, 19.0*C, 79.0%, 0
2019-06-29T22:07:03, 19.0*C, 79.0%, 0
2019-06-29T23:07:03, 19.0*C, 79.0%, 0
2019-06-30T00:07:04, 19.0*C, 80.0%, 0
2019-06-30T01:07:04, 19.0*C, 80.0%, 0
2019-06-30T02:07:03, 19.0*C, 80.0%, 0
2019-06-30T03:07:04, 19.0*C, 80.0%, 0
2019-06-30T04:07:03, 19.0*C, 81.0%, 0
2019-06-30T05:07:04, 19.0*C, 81.0%, 0
2019-06-30T06:07:04, 19.0*C, 81.0%, 0
2019-06-30T07:07:04, 19.0*C, 80.0%, 0
2019-06-30T08:07:03, 19.0*C, 80.0%, 1
2019-06-30T09:07:03, 19.0*C, 80.0%, 0
2019-06-30T10:07:04, 19.0*C, 80.0%, 0
2019-06-30T11:07:06, 19.0*C, 78.0%, 0
2019-06-30T12:07:06, 19.0*C, 77.0%, 0
2019-06-30T13:07:14, 19.0*C, 77.0%, 0
2019-06-30T14:07:04, 19.0*C, 77.0%, 0
2019-06-30T15:07:07, 19.0*C, 78.0%, 0
2019-06-30T16:07:06, 19.0*C, 78.0%, 0
2019-06-30T17:07:04, 19.0*C, 78.0%, 0
2019-06-30T18:07:04, 19.0*C, 79.0%, 1
2019-06-30T19:07:06, 19.0*C, 80.0%, 0
2019-06-30T20:07:04, 19.0*C, 80.0%, 0
2019-06-30T21:07:04, 19.0*C, 80.0%, 0
2019-06-30T22:07:07, 19.0*C, 75.0%, 0
2019-06-30T23:07:04, 19.0*C, 75.0%, 0
2019-07-01T00:07:07, 19.0*C, 72.0%, 0
2019-07-01T01:07:04, 19.0*C, 72.0%, 0
2019-07-01T02:07:16, 19.0*C, 72.0%, 0
2019-07-01T03:07:04, 19.0*C, 72.0%, 0
2019-07-01T04:07:07, 19.0*C, 74.0%, 0
2019-07-01T05:07:07, 19.0*C, 76.0%, 0
2019-07-01T06:07:04, 19.0*C, 75.0%, 0
2019-07-01T07:07:04, 19.0*C, 75.0%, 0
2019-07-01T08:07:17, 19.0*C, 74.0%, 0
2019-07-01T09:07:04, 19.0*C, 75.0%, 0
2019-07-01T10:07:04, 19.0*C, 74.0%, 0
2019-07-01T11:07:03, 19.0*C, 74.0%, 0
2019-07-01T12:07:04, 19.0*C, 74.0%, 0
2019-07-01T13:07:04, 19.0*C, 73.0%, 0
2019-07-01T14:07:04, 19.0*C, 73.0%, 0
2019-07-01T15:07:07, 19.0*C, 75.0%, 0
2019-07-01T16:07:06, 19.0*C, 75.0%, 0
2019-07-01T17:07:09, 19.0*C, 76.0%, 0
2019-07-01T18:07:06, 19.0*C, 77.0%, 0
2019-07-01T19:07:04, 19.0*C, 76.0%, 0
2019-07-01T20:07:06, 20.0*C, 77.0%, 0
2019-07-01T21:07:04, 20.0*C, 77.0%, 0
2019-07-01T22:07:04, 20.0*C, 78.0%, 0
2019-07-01T23:07:04, 20.0*C, 78.0%, 0
2019-07-02T00:07:06, 20.0*C, 78.0%, 0
2019-07-02T01:07:03, 20.0*C, 78.0%, 0
2019-07-02T02:07:06, 20.0*C, 79.0%, 0
2019-07-02T03:07:03, 20.0*C, 79.0%, 0
2019-07-02T04:07:06, 20.0*C, 80.0%, 0
2019-07-02T05:07:06, 20.0*C, 80.0%, 0
2019-07-02T06:07:06, 20.0*C, 80.0%, 0
2019-07-02T07:07:03, 20.0*C, 80.0%, 0
2019-07-02T08:07:03, 20.0*C, 81.0%, 0
2019-07-02T09:07:08, 20.0*C, 80.0%, 0
2019-07-02T10:07:04, 20.0*C, 80.0%, 0
2019-07-02T11:07:04, 19.0*C, 81.0%, 0
2019-07-02T12:07:09, 19.0*C, 80.0%, 0
2019-07-02T13:07:04, 19.0*C, 80.0%, 0
2019-07-02T14:07:04, 19.0*C, 81.0%, 0
2019-07-02T15:07:04, 19.0*C, 81.0%, 0
2019-07-02T16:07:07, 19.0*C, 81.0%, 0
2019-07-02T17:07:04, 19.0*C, 81.0%, 0
2019-07-02T18:07:03, 19.0*C, 81.0%, 0
2019-07-02T19:07:05, 19.0*C, 81.0%, 0
2019-07-02T20:07:03, 19.0*C, 82.0%, 0
2019-07-02T21:07:04, 19.0*C, 82.0%, 0
2019-07-02T22:07:06, 19.0*C, 78.0%, 0
2019-07-02T23:07:03, 19.0*C, 78.0%, 0
2019-07-03T00:07:07, 19.0*C, 71.0%, 0
2019-07-03T01:07:03, 19.0*C, 70.0%, 0
2019-07-03T02:07:04, 19.0*C, 70.0%, 0
2019-07-03T03:07:04, 19.0*C, 69.0%, 0
2019-07-03T04:07:04, 18.0*C, 69.0%, 0
2019-07-03T05:07:03, 18.0*C, 68.0%, 0
2019-07-03T06:07:04, 18.0*C, 67.0%, 0
2019-07-03T07:07:07, 18.0*C, 68.0%, 0
2019-07-03T08:07:04, 18.0*C, 68.0%, 0
2019-07-03T09:07:04, 19.0*C, 69.0%, 0
2019-07-03T10:07:04, 19.0*C, 70.0%, 0
2019-07-03T11:07:03, 19.0*C, 70.0%, 0
2019-07-03T12:07:04, 19.0*C, 70.0%, 0
2019-07-03T13:07:04, 19.0*C, 70.0%, 0
2019-07-03T14:07:09, 19.0*C, 69.0%, 0
2019-07-03T15:07:03, 19.0*C, 69.0%, 0
2019-07-03T16:07:11, 19.0*C, 69.0%, 0
2019-07-03T17:07:06, 19.0*C, 70.0%, 0
2019-07-03T18:07:04, 19.0*C, 70.0%, 0
2019-07-03T19:07:06, 19.0*C, 71.0%, 0
2019-07-03T20:07:03, 19.0*C, 71.0%, 0
2019-07-03T21:07:07, 19.0*C, 72.0%, 0
2019-07-03T22:07:06, 19.0*C, 72.0%, 0
2019-07-03T23:07:04, 19.0*C, 72.0%, 0
2019-07-04T00:07:06, 19.0*C, 73.0%, 0
2019-07-04T01:07:04, 19.0*C, 73.0%, 0
2019-07-04T02:07:04, 19.0*C, 74.0%, 0
2019-07-04T03:07:04, 19.0*C, 75.0%, 0
2019-07-04T04:07:07, 19.0*C, 76.0%, 0
2019-07-04T05:07:04, 19.0*C, 76.0%, 0
2019-07-04T06:07:06, 19.0*C, 77.0%, 0
2019-07-04T07:07:06, 19.0*C, 77.0%, 0
2019-07-04T08:07:06, 19.0*C, 77.0%, 0
2019-07-04T09:07:03, 19.0*C, 77.0%, 0
2019-07-04T10:07:03, 19.0*C, 78.0%, 1
2019-07-04T11:07:04, 19.0*C, 78.0%, 0
2019-07-04T12:07:06, 19.0*C, 77.0%, 0
2019-07-04T13:07:06, 19.0*C, 77.0%, 0
2019-07-04T14:07:06, 19.0*C, 77.0%, 0
2019-07-04T15:07:04, 19.0*C, 77.0%, 0
2019-07-04T16:07:06, 19.0*C, 78.0%, 0
